nome;valor;modo;duracao;conclusao;link
Marketing digital para sua empresa: equipe comercial;Gratuito;Online;Carga horária deste curso: 3h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/marketing-digital-para-sua-empresa-equipe-comercial,12e7125576a4e710VgnVCM100000d701210aRCRD
Artesão empreendedor: nível 1;Gratuito;Online;Carga horária deste curso: 30h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/artesao-empreendedor-nivel-1,1a6e9e1cbcb3c710VgnVCM100000d701210aRCRD
Legislação e negócios para o audiovisual;Gratuito;Online;Carga horária deste curso: 120h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/legislacao-e-negocios,20d5baa60fd5d710VgnVCM100000d701210aRCRD
Ótica e integridade empresarial na prevenção da corrupção;Gratuito;Online;Carga horária deste curso: 3h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/etica-e-integridade-empresarial-na-prevencao-da-corrupcao,32d9bbc02cb6d710VgnVCM100000d701210aRCRD
Marketing digital para sua empresa: primeiros passos;Gratuito;Online;Carga horária deste curso: 6h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/marketing-digital-para-sua-empresa-primeiros-passos,5497125576a4e710VgnVCM100000d701210aRCRD
Formação pedagógica: empreendedorismo e BNCC;Gratuito;Online;Carga horária deste curso: 40h;Conclusão em 45 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/formacao-pedagogica,55ee16d291e4d710VgnVCM100000d701210aRCRD
Comercialização e distribuição para o Audiovisual;Gratuito;Online;Carga horária deste curso: 34h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/comercializacao-e-distribuicao-para-o-audiovisual,580e5540409cd710VgnVCM100000d701210aRCRD
Artesão empreendedor: nível 2;Gratuito;Online;Carga horária deste curso: 23h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/artesao-empreendedor-nivel-2,5d409e1cbcb3c710VgnVCM100000d701210aRCRD
Up Digital: Marketing;Gratuito;Online;Carga horária deste curso: 8h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/up-digital-marketing,5e36cbaa8821b710VgnVCM100000d701210aRCRD
Trade marketing;Gratuito;Online;Carga horária deste curso: 4h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/trade-marketing,90fea2a16b76e710VgnVCM100000d701210aRCRD
Contador Parceiro: construindo o sucesso;Gratuito;Online;Carga horária deste curso: 48h;Conclusão em 18 meses;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/contador-parceiro-construindo-o-sucesso,af35681a0e0f8710VgnVCM100000d701210aRCRD
Marketing digital para sua empresa: reforçando sua presença;Gratuito;Online;Carga horária deste curso: 6h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/marketing-digital-para-sua-empresa-reforcando-sua-presenca,c0c7125576a4e710VgnVCM100000d701210aRCRD
Hora da virada;Gratuito;Online;Carga horária deste curso: 12h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/hora-da-virada,cb6a311f702cc710VgnVCM100000d701210aRCRD
Como tornar sua empresa uma franquia;Gratuito;Online;Carga horária deste curso: 5h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/como-tornar-sua-empresa-uma-franquia,dc8da2a16b76e710VgnVCM100000d701210aRCRD
No corre! Tá na trilha. Tá no corre do projeto de vida;Gratuito;Online;Carga horária deste curso: 25h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/no-corre-ta-na-trilha-ta-no-corre-do-projeto-de-vida,f1cef78ea80eb710VgnVCM100000d701210aRCRD
Qualidade na taça;Gratuito;Online;Carga horária deste curso: 48h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/qualidade-na-taca,fa5f6622ad83a710VgnVCM100000d701210aRCRD
Como despertar comportamentos empreendedores em crianças;Gratuito;Online;Carga horária deste curso: 2h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/como-despertar-comportamentos-empreendedores-em-criancas,466ffed110988710VgnVCM100000d701210aRCRD
Volte a empreender!;Gratuito;Online;Carga horária deste curso: 4h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/volte-a-empreender,67b2adea33c4c710VgnVCM100000d701210aRCRD
Educação integral;Gratuito;Online;Carga horária deste curso: 50h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/educacao-integral,094848dc43a58710VgnVCM100000d701210aRCRD
Professor do futuro;Gratuito;Online;Carga horária deste curso: 17h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/professor-do-futuro,61d1e01e51738710VgnVCM100000d701210aRCRD
Socorro! Eu não tenho a menor ideia do que eu quero para a minha vida;Gratuito;Online;Carga horária deste curso: 9h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/socorro-eu-nao-tenho-a-menor-ideia-do-que-eu-quero-para-a-minha-vida,735be01e51738710VgnVCM100000d701210aRCRD
Fundamentos básicos para a criação de negócios;Gratuito;Online;Carga horária deste curso: 19h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/fundamentos-basicos-para-a-criacao-de-negocios,15be5fa05e239710VgnVCM100000d701210aRCRD
Pilares da gestão escolar: gestão de pessoas;Gratuito;Online;Carga horária deste curso: 29h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/8-pilares-da-gestao-escolar-gestao-de-pessoas,16c161f6a1c69710VgnVCM100000d701210aRCRD
O despertar do empreendedorismo nas escolas;Gratuito;Online;Carga horária deste curso: 18h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/o-despertar-do-empreendedorismo-nas-escolas,23bbe38b5b239710VgnVCM100000d701210aRCRD
Pilares da gestão escolar: gestão da comunicação;Gratuito;Online;Carga horária deste curso: 13h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/8-pilares-da-gestao-escolar-gestao-da-comunicacao,272d61f6a1c69710VgnVCM100000d701210aRCRD
Tecnologias para a educação;Gratuito;Online;Carga horária deste curso: 18h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/tecnologias-para-a-educacao,2beb131bb9239710VgnVCM100000d701210aRCRD
Pilares da gestão escolar: gestão financeira;Gratuito;Online;Carga horária deste curso: 9h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/8-pilares-da-gestao-escolar-gestao-financeira,40487b6604c69710VgnVCM100000d701210aRCRD
Empreendendo em educação a distância;Gratuito;Online;Carga horária deste curso: 6h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/empreendendo-em-educacao-a-distancia,4546e38b5b239710VgnVCM100000d701210aRCRD
Inovação e o lúdico favorecendo os processos de aprendizagem;Gratuito;Online;Carga horária deste curso: 10h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/inovacao-e-o-ludico-favorecendo-os-processos-de-aprendizagem,7045e38b5b239710VgnVCM100000d701210aRCRD
Pilares da gestão escolar: gestão tecnológica;Gratuito;Online;Carga horária deste curso: 21h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/8-pilares-da-gestao-escolar-gestao-tecnologica,710b7b6604c69710VgnVCM100000d701210aRCRD
Gestão escolar;Gratuito;Online;Carga horária deste curso: 8h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/gestao-escolar,753e832ca9429710VgnVCM100000d701210aRCRD
Ensino híbrido para integralização curricular na educação básica;Gratuito;Online;Carga horária deste curso: 16h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/ensino-hibrido-para-integralizacao-curricular-na-educacao-basica,85c7e38b5b239710VgnVCM100000d701210aRCRD
Como desenvolver produtos e modelos de negócios inovadores;Gratuito;Online;Carga horária deste curso: 20h;Conclusão em 45 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/como-desenvolver-produtos-e-modelos-de-negocios-inovadores,8ed9adfa1bad5710VgnVCM1000004c00210aRCRD
Pré-aceleração Sebrae Like a Boss;Gratuito;Online;Carga horária deste curso: 85h;Conclusão em 120 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/pre-aceleracao-sebrae-like-a-boss,a2c9821eae8dd710VgnVCM100000d701210aRCRD
Pilares da gestão escolar: gestão de relacionamento;Gratuito;Online;Carga horária deste curso: 32h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/8-pilares-da-gestao-escolar-gestao-de-relacionamento,a68361f6a1c69710VgnVCM100000d701210aRCRD
Pilares da gestão escolar: gestão administrativa;Gratuito;Online;Carga horária deste curso: 37h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/8-pilares-da-gestao-escolar-gestao-administrativa,afcb15d277c69710VgnVCM100000d701210aRCRD
Pilares da gestão escolar: gestão pedagógica;Gratuito;Online;Carga horária deste curso: 29h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/8-pilares-da-gestao-escolar-gestao-pedagogica,afd87b6604c69710VgnVCM100000d701210aRCRD
O futuro das profissões;Gratuito;Online;Carga horária deste curso: 6h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/o-futuro-das-profissoes,da70e38b5b239710VgnVCM100000d701210aRCRD
Atualização em empreendedorismo;Gratuito;Online;Carga horária deste curso: 26h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/atualizacao-em-empreendedorismo,e13b5fa05e239710VgnVCM100000d701210aRCRD
Pilares da gestão escolar: gestão de tempo e eficiência;Gratuito;Online;Carga horária deste curso: 15h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/8-pilares-da-gestao-escolar-gestao-de-tempo-e-eficiencia,ea1461f6a1c69710VgnVCM100000d701210aRCRD
Empreendedorismo e características do comportamento empreendedor;Gratuito;Online;Carga horária deste curso: 26h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/empreendedorismo-e-caracteristicas-do-comportamento-empreendedor,eaab35a283339710VgnVCM100000d701210aRCRD
Pilares da gestão escolar: gestão de recursos de estoque;Gratuito;Online;Carga horária deste curso: 5h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/8-pilares-da-gestao-escolar-gestao-de-recursos-de-estoque,eb9261f6a1c69710VgnVCM100000d701210aRCRD
O mundo da educação no pós-pandemia;Gratuito;Online;Carga horária deste curso: 14h;Conclusão em 60 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/o-mundo-da-educacao-no-pos-pandemia,f33f131bb9239710VgnVCM100000d701210aRCRD
Boas práticas nos serviços de alimentação;Gratuito;Online;Carga horária deste curso: 20h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/boas-praticas-nos-servicos-de-alimentacao,fa88adfa1bad5710VgnVCM1000004c00210aRCRD
Propriedade intelectual para Startups;Gratuito;Online;Carga horária deste curso: 2h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/propriedade-intelectual-para-startups,fecfb71da3b00710VgnVCM1000004c00210aRCRD
Modelagem financeira para Startups;Gratuito;Online;Carga horária deste curso: 2h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/modelagem-financeira-para-startups,88cdb71da3b00710VgnVCM1000004c00210aRCRD
Modelagem e validação da proposta de valor para Startups;Gratuito;Online;Carga horária deste curso: 3h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/modelagem-e-validacao-da-proposta-de-valor-para-startups,01cbb71da3b00710VgnVCM1000004c00210aRCRD
Inovação de impacto para Startups;Gratuito;Online;Carga horária deste curso: 3h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/inovacao-de-impacto-para-startups,3cb592c37fa00710VgnVCM1000004c00210aRCRD
Inovação e agilidade: o futuro do empreendedorismo;Gratuito;Online;Carga horária deste curso: 20h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/inovacao-e-agilidade-o-futuro-do-empreendedorismo,c269f07e6fb5c710VgnVCM100000d701210aRCRD
Inovação pós-pandemia;Gratuito;Online;Carga horária deste curso: 2h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/inovacao-pos-pandemia,f6fcadea33c4c710VgnVCM100000d701210aRCRD
Como expandir seu negóio;Gratuito;Online;Carga horária deste curso: 4h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/como-expandir-seu-negocio,6468b71da3b00710VgnVCM1000004c00210aRCRD
Jovem empreendedor no campo;Gratuito;Online;Carga horária deste curso: 32h;Conclusão em 30 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/jovem-empreendedor-no-campo,e11233395ac59710VgnVCM100000d701210aRCRD
Acesso a mercado para Startups;Gratuito;Online;Carga horária deste curso: 2h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/acesso-a-mercado-para-startups,8a894a6efdcff610VgnVCM1000004c00210aRCRD
Acesso a capital para Startups;Gratuito;Online;Carga horária deste curso: 3h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/acesso-a-capital-para-startups,80b566e1bbbff610VgnVCM1000004c00210aRCRD
Como comprar bem e de bons fornecedores;Gratuito;Online;Carga horária deste curso: 2h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/como-comprar-bem-e-de-bons-fornecedores,0101b8a6a28bb610VgnVCM1000004c00210aRCRD
Como definir preço de venda;Gratuito;Online;Carga horária deste curso: 2h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/como-definir-preco-de-venda,04a0b8a6a28bb610VgnVCM1000004c00210aRCRD
Introdução ao BIM para pequenas empresas;Gratuito;Online;Carga horária deste curso: 2h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/introducao-ao-bim-para-pequenas-empresas,05f37a0655786710VgnVCM1000004c00210aRCRD
Contrato de trabalho;Gratuito;Online;Carga horária deste curso: 8h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/contrato-de-trabalho,06c0b8a6a28bb610VgnVCM1000004c00210aRCRD
Como criar uma página no Facebook;Gratuito;Online;Carga horária deste curso: 2h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/como-criar-uma-pagina-no-facebook,07d0b8a6a28bb610VgnVCM1000004c00210aRCRD
Receita de sucesso: cardápio, cozinha e alimentos;Gratuito;Online;Carga horária deste curso: 3h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/receita-de-sucesso-cardapio-cozinha-e-alimentos,08b0b8a6a28bb610VgnVCM1000004c00210aRCRD
Custos para produzir no campo;Gratuito;Online;Carga horária deste curso: 4h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/custos-para-produzir-no-campo,0bb0b8a6a28bb610VgnVCM1000004c00210aRCRD
Marketing digital - módulo 4;Gratuito;Online;Carga horária deste curso: 1h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/marketing-digital-modulo-4,0c7374d787c23710VgnVCM1000004c00210aRCRD
Como melhorar a gestão de sua loja virtual em marketplace;Gratuito;Online;Carga horária deste curso: 2h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/como-melhorar-a-gestao-de-sua-loja-virtual-em-marketplace,0f9beb34f5193710VgnVCM1000004c00210aRCRD
O que é marketplace e como isso pode ajudar o seu negócio;Gratuito;Online;Carga horária deste curso: 2h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/o-que-e-marketplace-e-como-isso-pode-ajudar-o-seu-negocio,107e456daa093710VgnVCM1000004c00210aRCRD
Atrativos turísticos;Gratuito;Online;Carga horária deste curso: 3h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/atrativos-turisticos,10f0b8a6a28bb610VgnVCM1000004c00210aRCRD
Pregão eletrônico para o fornecedor;Gratuito;Online;Carga horária deste curso: 4h;Conclusão em 15 dias;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline/pregao-eletronico-para-o-fornecedor,117bf7cb71787710VgnVCM1000004c00210aRCRD
