nome;valor;modo;duracao;conclusao;link
React JS: Introdução;Pago;Online;Carga horária deste curso: 8h;Sem Limite;https://www.devmedia.com.br/curso/react-js-introducao/2434
CSS: Modificando elementos HTML;Pago;Online;Carga horária deste curso: 9h;Sem Limite;https://www.devmedia.com.br/curso/css-modificando-elementos-html/2433
CSS: Background - Preenchendo o fundo de um elemento;Pago;Online;Carga horária deste curso: 6h;Sem Limite;https://www.devmedia.com.br/curso/css-background-preenchendo-o-fundo-de-um-elemento/2431
HTML: Criando formulários;Pago;Online;Carga horária deste curso: 10h;Sem Limite;https://www.devmedia.com.br/curso/html-criando-formularios/2432
CSS: Estilização através de seletores;Pago;Online;Carga horária deste curso: 8h;Sem Limite;https://www.devmedia.com.br/curso/css-estilizacao-atraves-de-seletores/2430
React Native: Criando um aplicativo com tab navigation;Pago;Online;Carga horária deste curso: 8h;Sem Limite;https://www.devmedia.com.br/curso/react-native-criando-um-aplicativo-com-tab-navigation/2429
CSS: Propriedades ;Pago;Online;Carga horária deste curso: 11h;Sem Limite;https://www.devmedia.com.br/curso/css-propriedades/2428
React Native: Componentes do tipo container;Pago;Online;Carga horária deste curso: 6h;Sem Limite;https://www.devmedia.com.br/curso/react-native-componentes-do-tipo-container/2427
CSS: Introdução;Pago;Online;Carga horária deste curso: 8h;Sem Limite;https://www.devmedia.com.br/curso/css-introducao/2426
Programador Back-end: Introdução;Pago;Online;Carga horária deste curso: 9h;Sem Limite;https://www.devmedia.com.br/curso/programador-back-end-introducao/2425
Programador Mobile: Introdução;Pago;Online;Carga horária deste curso: 7h;Sem Limite;https://www.devmedia.com.br/curso/programador-mobile-introducao/2424
Programador Front-end: Introdução;Pago;Online;Carga horária deste curso: 7h;Sem Limite;https://www.devmedia.com.br/curso/programador-front-end-introducao/2423
React Native: Criando componentes;Pago;Online;Carga horária deste curso: 10h;Sem Limite;https://www.devmedia.com.br/curso/react-native-criando-componentes/2422
JavaScript: Input;Pago;Online;Carga horária deste curso: 6h;Sem Limite;https://www.devmedia.com.br/curso/javascript-input/2421
React Native: Estilização básica;Pago;Online;Carga horária deste curso: 10h;Sem Limite;https://www.devmedia.com.br/curso/react-native-estilizacao-basica/2419
React Native: Exibindo uma imagem no aplicativo;Pago;Online;Carga horária deste curso: 8h;Sem Limite;https://www.devmedia.com.br/curso/react-native-exibindo-uma-imagem-no-aplicativo/2418
JavaScript: Aplicação em camadas;Pago;Online;Carga horária deste curso: 9h;Sem Limite;https://www.devmedia.com.br/curso/javascript-aplicacao-em-camadas/2417
React Native: Introdução;Pago;Online;Carga horária deste curso: 10h;Sem Limite;https://www.devmedia.com.br/curso/react-native-introducao/2416
Vue.js: Hello World com Vue 3.0 CLI;Pago;Online;Carga horária deste curso: 5h;Sem Limite;https://www.devmedia.com.br/curso/vue-js-hello-world-com-vue-3-0-cli/2415
React Native: Navegação;Pago;Online;Carga horária deste curso: 11h;Sem Limite;https://www.devmedia.com.br/curso/react-native-navegacao/2414
Node.js: Recebendo parâmetros no back-end;Pago;Online;Carga horária deste curso: 5h;Sem Limite;https://www.devmedia.com.br/curso/node-js-recebendo-parametros-no-back-end/2413
Flutter: Conhecendo novos Widgets;Pago;Online;Carga horária deste curso: 11h;Sem Limite;https://www.devmedia.com.br/curso/flutter-conhecendo-novos-widgets/2412
